Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified,texto_fuente_estricto,label_cervecero_estricto,label_final,label_justificacion
1580.120,Lactobacillus brevis strain TMW 1.2111,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,TMW 1.2111,,,,,,,,,,,,,,,,,,,,Good,2017-05-02T00:00:00Z,,,PRJNA313253,SAMN04517636,GCA_002117375.1,,"CP019743,CP019744,CP019745,CP019746,CP019747,CP019748,CP019749",Technische Universitaet Muenchen,Complete,PacBio,341,Celera Assembler v. 1,,6.0,7,2882014,45.32,1.0,2571250.0,66.0,5.0,,3128,99.9,97.1,6.2,100.0,,wheat beer,,,,,Germany,,,,Europe,Germany,,,,,,,,,,,sample_type:cell culture,Analysis of EPS-producing Lactobacillus brevis strains by comparative genomics - Identification of diagnostic marker genes for the detection of slime producing beer spoiling lactic acid bacteria,2017-05-29T10:51:37.370Z,2017-05-29T10:51:37.370Z,wheat beer | ,True,True,positivo: cerveza/cerveceria
1580.121,Lactobacillus brevis strain 100D8,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,100D8,,,,,,,,,,,,,,,,,,,,Good,2017-05-15T00:00:00Z,,,PRJNA318943,SAMN04870420,GCA_002138395.1,,"CP015338,CP015339,CP015340,CP015341",Gyeonsang National University,Complete,Pacbio,25,HGAP v. 3,,3.0,4,2477732,45.75,1.0,2351988.0,67.0,5.0,,2520,99.8,99.2,,100.0,,rye silage,,2016-02,2016.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,collected_by:H.S. Kim;sample_type:cell cuture,To development of probiotics,2017-05-29T18:50:09.336Z,2017-05-29T18:50:09.336Z,rye silage | ,False,False,
1580.1215,Levilactobacillus brevis KL251,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,KL251,,,,,,,,,,,,,,,,,,,,Good,2024-06-28T00:00:00Z,,,PRJNA1095679,SAMN40732368,GCA_040425635.1,,JBEQPM000000000,,,Illumina NovaSeq,50.0x,GS De Novo Assembler v. november-2023,,,52,2341662,45.952618,8.0,112070.0,57.0,3.0,,2348,99.9,99.5,,100.0,,kimchi,,2010-11-04,2010.0,,South Korea,,,,Asia,South Korea,,Vegetable,,,,,,,,,sample_type:kimchi,,2024-12-05T08:23:06.587Z,2024-12-05T08:23:06.587Z,kimchi | ,False,False,
1580.1218,Levilactobacillus brevis NS2301G3,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,NS2301G3,,,,,,,,,,,,,,,,,,,,Good,2024-08-11T00:00:00Z,,,PRJNA1141725,SAMN42962384,,,"CP165720,CP165721,CP165722,CP165723,CP165724",,,Oxford Nanopore GridION; Illumina NextSeq,685.248x,flye v. v2.9.1,,4.0,5,2527433,45.787247,1.0,2449247.0,69.0,15.0,,2573,99.9,99.2,,100.0,,kimchi,,2022-10-21,2022.0,,South Korea,,,,Asia,South Korea: Gwangju,,,,,,,,,,,sample_type:single cell,,2024-12-06T04:10:27.953Z,2024-12-06T04:10:27.953Z,kimchi | ,False,False,
1580.1219,Levilactobacillus brevis BD-LB,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,BD-LB,,,,,,,,,,,,,,,,,,,,Good,2024-08-13T00:00:00Z,,,PRJNA1144256,SAMN43031641,,,CP166198,,,PacBio; DNBseq,100.0x,Canu v. v1.5,,,1,2507364,46.020523,1.0,2507364.0,68.0,15.0,,2499,99.9,99.4,,100.0,,intestinal structure,,2024-03-21,2024.0,,China,,,,Asia,China,,Bactrocera dorsalis,,,,,,,,,sample_type:tissue sample,,2024-12-06T04:40:30.428Z,2024-12-06T04:40:30.428Z,intestinal structure | ,False,False,
1580.1220,Levilactobacillus brevis CHEE98,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,CHEE98,,,,,,,,,,,,,,,,,,,,Good,2024-09-08T00:00:00Z,,,PRJNA1147898,SAMN43173889,,,CP168078,,,Oxford Nanopore MinION,56.0x,FLYE v. 2.9.1-b1784,,,1,2776782,45.67408,1.0,2776782.0,70.0,15.0,,2874,99.6,99.0,,100.0,,Gorgonzola cheese,,2024-07-12,2024.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,sample_type:cell culture,,2024-12-07T22:20:25.698Z,2024-12-07T22:20:25.698Z,gorgonzola cheese | ,False,False,
1580.1222,Levilactobacillus brevis YT108,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,YT108,,,,,,,,,,,,,,,,,,,,Good,2024-10-25T00:00:00Z,,,PRJNA1166862,SAMN43978468,GCA_043854055.1,,JBHUQD000000000,,,Illumina; PacBio,451.0x,SOAPdenovo v. 2.04,,,49,2584672,45.749428,4.0,226572.0,74.0,4.0,,2590,99.6,98.9,,100.0,,fecal sample of weaned rabbit,,2020-09-06,2020.0,,China,,,,Asia,China: Sichuan,,Rex rabbit,,,,,,,,,sample_type:Fecal sample,,2024-12-10T02:31:54.098Z,2024-12-10T02:31:54.098Z,fecal sample of weaned rabbit | ,False,False,
1580.1240,Levilactobacillus brevis TCI988,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,TCI988,,,,,,,,,,,,,,,,,,,,Good,2024-07-08T00:00:00Z,,,PRJNA1123912,SAMN41832260,,,"CP159792,CP159793",,,Oxford Nanopore,1218.0x,Flye v. 2.9.1; Canu v. 2.2,,1.0,2,2369486,46.128872,1.0,2070373.0,66.0,15.0,,2394,99.9,99.3,0.3,100.0,,tempeh,,2020-06-15,2020.0,,Taiwan,,,,Asia,Taiwan:Taipei,,,,,,,,,,,sample_type:cell culture,,2025-01-30T19:23:56.010Z,2025-01-30T19:23:56.010Z,tempeh | ,False,False,
1580.1241,Levilactobacillus brevis LAB 6,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,LAB 6,,,,,,,,,,,,,,,,,,,,Good,2024-07-08T00:00:00Z,,,PRJNA954597,SAMN34152578,,,JARWBX000000000,,,Illumina NovaSeq,1000.0x,CLC NGS Cell v. 21.0.4,,,153,2595856,45.638165,21.0,39170.0,64.0,3.0,,2697,99.6,99.0,,100.0,,ENVO:01001121,,2016-03-16,2016.0,,India,,,,Asia,"India:Meghalaya,Shillong",,,,,,,,,,,,,2025-01-30T19:36:38.692Z,2025-01-30T19:36:38.692Z,envo:01001121 | ,False,False,
1580.1242,Levilactobacillus brevis D17,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,D17,,,,,,,,,,,,,,,,,,,,Good,2024-11-18T00:00:00Z,,,PRJNA1074250,SAMN39854706,,,"CP144556,CP144558,CP144557",,,Oxford Nanopore GridION; Illumina HiSeq,120.0x,flye v. 2.6; Pilon v. 1.22,,2.0,3,2371407,45.94593,1.0,2282275.0,62.0,15.0,,2503,99.8,97.3,5.7,100.0,,fermented grains of Chinese liquor making,,2017-10-01,2017.0,,China,,,,Asia,China:Wuxi,,,,,,,,,,,"sample_type:Cell culture;collected_by:Cong Ren, Luchan Gong, Yan Xu",,2025-01-31T01:40:00.359Z,2025-01-31T01:40:00.359Z,fermented grains of chinese liquor making | ,False,False,
1580.1243,Levilactobacillus brevis A156,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,A156,,,,,,,,,,,,,,,,,,,,Good,2024-01-24T00:00:00Z,25791853,,PRJNA1058863,SAMN39190911,,,"CP142716,CP142717,CP142718,CP142719,CP142720",,,Illumina; Nanopore,508.824x,De novo Assembly of High-Quality Reads v.,,4.0,5,2377811,45.96976,1.0,2305485.0,62.0,15.0,,2375,99.9,99.6,,100.0,,fermented soybean food,,2014-03,2014.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,"sample_type:single cell;identified_by:16S rRNA gene sequencing, RAPD-PCR",,2025-02-01T02:14:21.491Z,2025-02-01T02:14:21.491Z,fermented soybean food | ,False,False,
1580.1244,Levilactobacillus brevis H8,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,H8,,,,,,,,,,,,,,,,,,,,Good,2025-01-23T00:00:00Z,,,PRJNA1208673,SAMN46189316,,,CP178219,,,Illumina Novaseq 6000,57.0x,HGAP v. Flye v2.8.3,,,1,2350541,46.1344,1.0,2350541.0,67.0,15.0,,2328,99.6,99.1,,100.0,,Korean beef,,2022-03-01,2022.0,,,,,,,,,,,,,,,,,,,,2025-02-03T22:28:26.457Z,2025-02-03T22:28:26.457Z,korean beef | ,False,False,
1580.1245,Levilactobacillus brevis SRR23946438_binner12_Refined_11,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,SRR23946438_binner12_Refined_11,,,,,,,,,,,,,,,,,,,,Poor,2024-12-01T00:00:00Z,,,PRJEB82471,SAMEA117402119,,,CAYLCV000000000,,,,,,,,183,2056985,46.32722,36.0,17771.0,22.0,,,2165,99.2,98.2,2.5,99.7,Genome too short,chicken gut metagenome,,2022-07-16,2022.0,,Germany,,,,Europe,Germany,,,,,,,,,,,,,2025-02-06T00:41:50.688Z,2025-02-06T00:41:50.688Z,chicken gut metagenome | ,False,False,
1580.126,Lactobacillus brevis strain SRCM101174,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,SRCM101174,,,,,,,,,,,,,,,,,,,,Good,2017-06-06T00:00:00Z,,,PRJNA386759,SAMN07125942,GCA_002173555.1,,"CP021479,CP021478,CP021480,CP021481,CP021482,CP021483",Microbial Institiue for Fermentation Industry,Complete,PacBio,416.0x,SMRT Analysis v. 2.3.0,,5.0,6,2571249,45.64,1.0,2411324.0,68.0,15.0,,2647,99.6,99.0,,100.0,,food,,2017-01-09,2017.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,sample_type:cell culture,Genome sequence of Lactobacillus brevis strain SRCM101174,2017-07-22T10:40:27.830Z,2017-07-22T10:40:27.830Z,food | ,False,False,
1580.127,Lactobacillus brevis strain SRCM101106,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,SRCM101106,,,,,,,,,,,,,,,,,,,,Good,2017-06-06T00:00:00Z,,,PRJNA386758,SAMN07125941,GCA_002174235.1,,"CP021674,CP021672,CP021673,CP021675,CP021676",Microbial Institiue for Fermentation Industry,Complete,PacBio,512.0x,SMRT Analysis v. 2.3.0,,4.0,5,2554125,45.63,1.0,2440326.0,67.0,15.0,,2594,99.6,98.7,,100.0,,food,,2017-01-09,2017.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,sample_type:cell culture,Genome sequence of Lactobacillus brevis strain SRCM101106,2017-07-22T11:11:11.443Z,2017-07-22T11:11:11.443Z,food | ,False,False,
